,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2023-12-13 22:59:59,1.0920704668528049e-07,8.004320618884365e-10,5.942871067230092e-11,5.942871067230092e-11
2023-12-13 23:14:59,1.1607050657540003e-07,8.618531639457628e-10,6.66525642685141e-11,6.66525642685141e-11
2023-12-13 23:29:59,1.1557138188448835e-07,8.995344858210344e-10,8.575405062206197e-11,8.575405062206197e-11
2023-12-13 23:44:59,1.1007223758860506e-07,1.3497668570059987e-09,3.039783084003982e-10,3.039783084003982e-10
2023-12-13 23:59:59,1.0963215609698948e-07,1.5590097915881689e-09,3.86796509004963e-10,3.86796509004963e-10
2023-12-14 00:14:59,1.1662719387061562e-07,6.325994969652395e-10,5.2409105928721715e-11,5.2409105928721715e-11
2023-12-14 00:29:59,1.1373455601930409e-07,6.102893830212192e-10,3.996820734682517e-11,3.996820734682517e-11
2023-12-14 00:44:59,1.1295935793299726e-07,6.535301060514708e-10,4.545428477504827e-11,4.545428477504827e-11
2023-12-14 00:59:59,1.1057400502850114e-07,6.986396629959675e-10,4.5148379679278336e-11,4.5148379679278336e-11
2023-12-14 01:14:59,1.0683139394762149e-07,6.838114457280861e-10,4.5993436241122134e-11,4.5993436241122134e-11
2023-12-14 01:29:59,9.69394922232877e-08,6.86898929098183e-10,5.0692394227109695e-11,5.0692394227109695e-11
2023-12-14 01:44:59,1.0622759101418726e-07,6.635155226853465e-10,4.6752473632184544e-11,4.6752473632184544e-11
2023-12-14 01:59:59,1.077166221690466e-07,6.81566557091797e-10,4.651474145203464e-11,4.651474145203464e-11
2023-12-14 02:14:59,9.911345766668281e-08,6.674041644918721e-10,4.825300556782077e-11,4.825300556782077e-11
2023-12-14 02:29:59,1.0076544544947757e-07,6.673887754315924e-10,4.568560748445926e-11,4.568560748445926e-11
2023-12-14 02:44:59,9.92990304979442e-08,6.591914485126232e-10,4.756607539547984e-11,4.756607539547984e-11
2023-12-14 02:59:59,9.538132166902042e-08,6.273140009750301e-10,4.164574473011554e-11,4.164574473011554e-11
